context,question,answer,no_of_hops
"[['Elizabeth of York', ['Elizabeth of York (11 February 1466 – 11 February 1503) was the first queen consort of England of the Tudor dynasty from 18 January 1486 until her death, as the wife of Henry VII.', 'She married Henry in 1485 after his victory at the Battle of Bosworth Field, which marked the end of the Wars of the Roses.', 'Together, Elizabeth and Henry had seven, possibly eight, children.', ""After the death of her father, King Edward IV, Elizabeth's brothers"", 'the ""Princes in the Tower"" disappeared, their fate uncertain.', 'Although the 1484 act of Parliament ""Titulus Regius"" declared the marriage of her parents, Edward and Elizabeth Woodville, invalid, she and her sisters were subsequently welcomed back to court by Edward\'s brother, King Richard III.', 'As a Yorkist princess, the final victory of the Lancastrian faction in the War of the Roses may have seemed a further disaster, but Henry Tudor knew the importance of Yorkist support for his invasion and promised to marry Elizabeth before he arrived in England.', 'This may well have contributed to the hemorrhaging of Yorkist support for Richard.', 'Although Elizabeth seems to have played little part in politics, her marriage appears to have been a successful one.', 'Her eldest son Arthur, Prince of Wales, died at age 15 in 1502, and three other children died young.', 'Her second, and only surviving, son became King Henry VIII of England, while her daughters Mary and Margaret became queen of France and queen of Scotland, respectively; many modern royals, including Elizabeth II, trace their line through Margaret.']], ['Mary Tudor, Queen of France', ['Mary Tudor (March 1496 – 25 June 1533) was an English princess who was briefly Queen consort of France, the progenitor of a family that eventually claimed the English throne.', 'She was the younger surviving daughter of King Henry VII of England and Elizabeth of York, and the third wife of Louis XII of France, who was more than 30 years older than she.', 'Following his death, she married Charles Brandon, 1st Duke of Suffolk.', 'The marriage was performed secretly in France during the reign of her brother Henry VIII and without his consent.', 'This necessitated the intervention of Thomas Wolsey; Henry eventually pardoned the couple, but they were forced to pay a large fine.', ""Mary's second marriage produced four children, and she was the maternal grandmother of Lady Jane Grey through her oldest daughter Frances."", 'Grey was the de facto Queen of England for nine days in July 1553.']]]","What is the alphabetical order of the letters in the first name of Mary Tudor, Queen Of France's maternal grandmother?",abeehiltz,2
"[[""Badi' al-Zaman Mirza"", [""Badi' al-Zaman Mirza (died 1514) was a Timurid ruler of Herat from 1506 to 1507."", 'He was the son of Husayn Bayqarah, who was a great-great-grandson of Timur Beg.']], ['Sultan Husayn Bayqara', ['Sultan Husayn Bayqara Mirza (/ ""Husayn Bāyqarā"") was the Timurid ruler of Herat from 1469 until May 4, 1506, with a brief interruption in 1470.', 'A skilled statesman, Sultan Husayn Bayqara was best known for his interest in the arts and was renowned as a benefactor and patron of learning in his kingdom.', 'He has been described as ""the quintessential Timurid ruler of the later period in Transoxiana"" and his sophisticated court and generous artistic patronage was a source of admiration, particularly from his cousin, the Mughal emperor Babur.', 'Sultan Husayn Bayqara was the last Timurid ruler of consequence in Khorasan.']]]",What is the date one day before the date of death of Badi' Al-Zaman Mirza's father?,1506-05-03,1
"[['Ludwig Gruno of Hesse-Homburg', ['Ludwig Johann Wilhelm', 'Gruno von Hessen-Homburg (15 January 1705 – 23 October 1745) was hereditary prince of Hesse-Homburg and an Imperial Russian field marshal.', 'He was the eldest surviving son of Frederick III, Landgrave of Hesse-Homburg and his wife Elisabeth Dorothea of Hesse-Darmstadt, daughter of Louis VI, Landgrave of Hesse-Darmstadt.', 'He studied at the University of Giessen and was sent by his father to Russia in 1723.', 'He became Major-General in Riga and commander of the Narva-Regiment.', 'As the grandson of Louise Elisabeth of Courland, he hoped in vain to succeed his cousin Ferdinand Kettler as Duke of Courland.', 'Anna of Russia moved him to Saint Petersburg, where he was promoted to General-Lieutenant and commander of the Saint Petersburg garrison.', 'In 1732, he led a successful campaign against the Crimean Tatars in the Caucasus.', 'After operations in Eastern Poland in 1734-1735, he again fought against the Crimean Tatars and the Turks in 1736-1737, but now under command of von Münnich.', 'He was awarded with the rank of General-Feldzeugmeister and was appointed Governor of Astrachan and the Persian provinces.', 'Ludwig Gruno also had good relations with the new Tsarina Elizabeth of Russia.', 'She gave him in 1742 the title of General-Fieldmarshal, a house in Moscow and an estate in Livonia.', 'He died from illness on a travel in Berlin.', 'He pre-deceased his father and was buried in the crypt of Bad Homburg Castle.']], ['Frederick III, Landgrave of Hesse-Homburg', [""Frederick III James of Hesse-Homburg (born 19 May 1673 in Cölln; died: 8 June 1746 in 's-Hertogenbosch)"", 'was a Landgrave of Hesse-Homburg']]]",What is the date one day before when Ludwig Gruno Of Hesse-Homburg's father was born?,1673-05-18,1
"[['Niklas Busch Thor', ['Niklas Birger Thor (born 21 February 1986) is a Swedish footballer.', 'He is commonly known as Niklas Thor or, since his marriage to Ebba Busch in 2014, Niklas Busch Thor.']], ['Ebba Busch Thor', ['Ebba-Elisabeth Busch (née ""Ebba-Elisabeth Busch-Christensen""; born 11 February 1987), since her marriage to Niklas Busch Thor in 2014 commonly known as Ebba Busch Thor, is a Swedish Christian Democrats politician who has served as Leader of the Christian Democrats since April 2015.', 'She is a candidate in the 2018 Riksdag (Parliament) election, for Uppsala County and almost all other constituencies.']]]",What is the date one day before when Ebba Busch Thor's husband was born?,1986-02-20,1
"[['Philip II, Margrave of Baden-Baden', ['Margrave Philip II of Baden( born 19 February 1559 in Baden- Baden – died 7 June 1588 in Baden- Baden) was from 1571 to 1588 Margrave of the Margraviate of Baden- Baden.', 'He was the son of the Protestant Margrave Philibert of Baden- Baden and the Catholic Mechthild of Bavaria.']], ['Mechthild of Bavaria', ['Mechthild of Bavaria (12 July 1532 – 2 November 1565 in Baden-Baden) was a German noblewoman.', 'She was the daughter of William IV, Duke of Bavaria and his wife Marie.', 'She was buried in the Stiftskirche at Baden-Baden.', 'On 17 January 1557 she married Philibert, Margrave of Baden-Baden, and they had the following children:', 'Mechthild is a German form of Matilde.']]]","What is the date one week before Philip II, Margrave Of Baden-Baden's mother's birthday?",1532-07-05,1
"[['Hans Schweikart', ['Hans Schweikart (1 October 1895 – 1 December 1975) was a German film director, actor and screenwriter.', 'He directed 28 films between 1938 and 1968.', 'He wrote for the film ""The Marriage of Mr. Mississippi"", which was entered into the 11th Berlin International Film Festival.']], ['Liberated Hands', ['Liberated Hands or Freed Hands  is a 1939 German drama film directed by Hans Schweikart and starring Brigitte Horney, Olga Tschechowa and Ewald Balser.', 'It was screened at the 8th Venice International Film Festival.', 'Horney plays a sculptor who discovers her true vocation.']]]",What is the date one week before the date of birth of the director of film Liberated Hands?,1895-09-24,1
"[['Martha Érika Alonso', ['Martha Érika Alonso Hidalgo (17 December 1973 – 24 December 2018; also called Martha Érika Alonso de Moreno Valle) was a Mexican politician of the National Action Party (PAN) who served as the first female governor of Puebla from 14 December 2018 until her death ten days later in a helicopter crash.', 'She was the spouse of Rafael Moreno Valle Rosas, who was governor of Puebla from 2011 to 2017 and was also killed in the crash.']], ['Rafael Moreno Valle Rosas', ['Rafael Moreno Valle Rosas (30 June 1968 – 24 December 2018) was a Mexican politician affiliated with the National Action Party (PAN).', 'He was the Governor of Puebla from February 2011 through January 2017.', 'Moreno Valle also served as a Deputy of the LIX Legislature of the Mexican Congress representing Puebla and as a Senator in the LX, LXI and LXIV Legislatures.', 'Moreno Valle was the grandson of Rafael Moreno Valle, a doctor and politician who also served as the Governor of Puebla from 1969 to 1972.', 'He was also the spouse of Martha Erika Alonso Hidalgo, the first woman Governor of Puebla.']]]",What is the date one week before when Martha Érika Alonso's husband was born?,1968-06-23,1
"[['Louis I, Prince of Monaco', [""Louis I, Prince of Monaco (25 July 1642, in Prince's Palace of Monaco – 3 January 1701, in Rome) was Prince of Monaco from 1662 until 1701."", '""Louis Grimaldi"" was the elder son of Prince Hercule of Monaco and Maria Aurelia Spinola.', 'Louis married Catherine Charlotte de Gramont, daughter of Marshal Antoine III de Gramont, on 30 March 1660 in Pau.', 'They had six children:', 'In 1662 Louis succeeded his grandfather Honoré II as Prince of Monaco.', ""In 1666 he distinguished himself at the Four Days' Battle between the English and Dutch fleets."", 'On 5 July 1668 he took the oath to King Louis XIV of France in the Parlement on account of being Duke of Valentinois and a Peer of France.', 'He was made a knight of the French royal orders on 31 December 1688.', 'In 1699 Louis XIV sent Louis to Rome as ambassador extraordinary.', 'There on 19 December he presented the insignia of the Order of the Holy Spirit to James Louis and Alexander Benedict Sobieski, the two sons of King John III of Poland.', 'Louis remained in Rome, where he died 3 January 1701.', 'His remains were transported back to Monaco.']], ['Catherine Charlotte de Gramont', ['Catherine Charlotte de Gramont( 1639 – 4 June 1678) was the Princess of Monaco by marriage to Louis I of Monaco.', 'She is known to have been a mistress of Louis XIV of France in 1666.']]]","What is the date one year after the date of death of Louis I, Prince Of Monaco's wife?",1679-06-04,1
"[['Olivier Baroux', ['Olivier Baroux( born 5 January 1964) is a French actor, comedian, writer and director who has acted both on stage and on screen.', 'He first became known in forming with Kad Merad, the duo Kad& Olivier then went solo, while finding Kad regularly.', ""Baroux's movies on Le Tuche is inspired by the hurdles of the American dream."", 'He is married to his wife Coralie since 2009.', 'Baroux is set to appear in"" Les Tuche 3"", with filming beginning in August 2018.']], ['Les Tuche 2', ['Les Tuche 2- Le rêve américain is a 2016 French comedy film directed by Olivier Baroux.', 'It is the sequel to"" Les Tuche"".', 'It earned over US$ 32.5 million and was the highest- grossing domestic film in France in 2016, with 4,619,884 tickets sold.']]]",What is the date one year after the director of film Les Tuche 2 's birthday?,1965-01-05,1
"[['Thor Heyerdahl', ['Thor Heyerdahl (October 6, 1914 – April 18, 2002) was a Norwegian adventurer and ethnographer with a background in zoology, botany, and geography.', 'He became notable for his ""Kon-Tiki"" expedition in 1947, in which he sailed 8,000 km (5,000 mi) across the Pacific Ocean in a hand-built raft from South America to the Tuamotu Islands.', 'The expedition was designed to demonstrate that ancient people could have made long sea voyages, creating contacts between separate cultures.', 'This was linked to a diffusionist model of cultural development.', 'Heyerdahl subsequently made other voyages designed to demonstrate the possibility of contact between widely separated ancient people, notably the ""Ra II"" expedition of 1970, when he sailed from the west coast of Africa to Barbados in a papyrus reed boat.', 'He was appointed a government scholar in 1984.', 'In May 2011, the Thor Heyerdahl Archives were added to UNESCO\'s ""Memory of the World"" Register.', 'At the time, this list included 238 collections from all over the world.', 'The Heyerdahl Archives span the years 1937 to 2002 and include his photographic collection, diaries, private letters, expedition plans, articles, newspaper clippings, original book, and article manuscripts.', 'The Heyerdahl Archives are administered by the Kon-Tiki Museum and the National Library of Norway in Oslo.']], ['Kon-Tiki (1950 film)', ['Kon-Tiki is a Norwegian-Swedish documentary film about the Kon-Tiki expedition led by Norwegian explorer and writer Thor Heyerdahl in 1947, released in Sweden, Norway, Finland, and Denmark in 1950, followed by the United States in 1951.', 'The movie, which was directed by Thor Heyerdahl and edited by Olle Nordemar, received the Academy Award for Best Documentary Feature for 1951 at the 24th Academy Awards.', 'The Oscar officially went to Olle Nordemar.', 'The Academy Film Archive preserved ""Kon-Tiki"" in 2013.']]]",What is the date one year after the date of birth of the director of Kon-Tiki (1950 Film)?,1915-10-06,1
"[['La Cage aux Folles 3: The Wedding', ['La Cage aux Folles 3:', 'The Wedding  is a 1985 comedy film and the third and final installment in the ""La Cage aux Folles"" series.', 'Unlike the first two films, which were directed by Édouard Molinaro, this third installment is directed by Georges Lautner.']], ['Georges Lautner', ['Georges Lautner( 24 January 1926 – 22 November 2013) was a French film director and screenwriter, known primarily for his comedies created in collaboration with screenwriter Michel Audiard.', ""Lautner's ventures into other genres were less successful though the thriller Le Professionnel starring Jean- Paul Belmondo was a big commercial hit in France in 1981."", 'He was born in Nice, the son of actress Renée Saint- Cyr.']]]",How many distinct two-letter combinations exist in the last name of the mother of the director of film La Cage Aux Folles 3: The Wedding?,28,2
"[['Kerry Earnhardt', ['Kerry Dale Earnhardt (born December 8, 1969) is a former NASCAR driver and the elder son of seven-time Winston Cup Series champion Dale Earnhardt.', 'He is the half-brother of former Cup Series driver Dale Earnhardt Jr. He was employed by Dale Earnhardt, Inc. as a consultant, specializing in driver development, until 2011.', 'His younger son, Jeffrey Earnhardt, began racing for DEI in 2007, and currently competes in the Monster Energy NASCAR Cup Series.', 'Kerry is known for his physical similarity to his father.']], ['Dale Earnhardt', ['Ralph Dale Earnhardt Sr. (April 29, 1951 – February 18, 2001) was an American professional auto racing driver and team owner, best known for his involvement in stock car racing for NASCAR.', 'The third child of racing driver Ralph Earnhardt and Martha Earnhardt, he began his career in 1975 in the World 600 as part of the Winston Cup Series.', 'Regarded as one of the most significant drivers in NASCAR history, Earnhardt won a total of 76 Winston Cup races over the course of his career, including the 1998 Daytona 500.', 'He also earned seven NASCAR Winston Cup championships, tying for the most all-time with Richard Petty.', 'This feat, accomplished in 1994, was not equaled again for 22 years until Jimmie Johnson in 2016.', 'His aggressive driving style earned him the nicknames ""IronheadThe Intimidator"", and ""The Man in Black"".', 'Also, his success at the restrictor plate tracks of Daytona and Talladega earned him the nickname, ""Mr. Restrictor Plate"".', 'In February 2001, Earnhardt died due to injuries sustained in a collision during the final lap of the Daytona 500, an event that was widely lamented in the racing industry.', 'Earnhardt has been inducted into numerous halls of fame, including the NASCAR Hall of Fame inaugural class in 2010.']]]",How many distinct two-letter combinations exist in the last name of the paternal grandfather of Kerry Earnhardt?,23,2
"[['Chiang Hsiao-wu', ['Chiang Hsiao-wu (also known as Alex Chiang; April 25, 1945 - July 1, 1991) was the second son of Chiang Ching-kuo, the President of the Republic of China in Taiwan from 1978 to 1988.', 'His mother is Faina Ipatyevna Vakhreva, also known as Chiang Fang-liang.', 'He had one older brother, Hsiao-wen, one older sister, Hsiao-chang, and one younger brother, Hsiao-yung.', 'He also had two half-brothers, Winston Chang and John Chiang, with whom he shared the same father.', 'He was president of the state-run Broadcasting Corporation of China from 1980 to 1986, and later headed the Republic of China mission to Singapore for two years, starting in April 1986 as the deputy trade representative before being transferred to the mission to Japan in 1990.', ""In a December 1985 speech, Hsiao-wu's father Chiang Ching-kuo declared ″If someone asks me whether anyone in my family would run for the next presidential term, my reply is, ′It can't be and"", ""it won't be.′″ Prior to the speech, Chiang Hsiao-wu was the only one of Chiang Ching-kuo's sons mentioned as a potential successor."", 'He died at the age of 46, on July 1, 1991, at the Taipei Veterans General Hospital in Taiwan as a result of congestive heart failure brought on by chronic inflammation of the pancreas.', 'He was survived by his wife and two children.']], ['Chiang Ching-kuo', ['Chiang Ching-kuo (27 April 1910 – 13 January 1988) was a politician of the Republic of China.', 'The eldest and only biological son of former president Chiang Kai-shek, he held numerous posts in the government of the Republic of China.', 'He served as Premier of the Republic of China between 1972–78 and was the President of the Republic of China from 1978 until his death in 1988.', ""Chiang Ching-kuo was sent as a teenager to study in the Soviet Union during the First United Front in 1925, when his father's Nationalist Party and the Chinese Communist Party were in alliance."", 'He attended university there, but when the Chinese Nationalists violently broke with the Communists, Stalin sent him to work in a steel factory in the Ural Mountains.', 'There he met and married Faina Vakhreva.', 'When war between China and Japan was imminent in 1937, Stalin sent the couple to China.', 'During the war his father gradually came to trust Ching-kuo and gave him more and more responsibilities, including administration.', 'After the Japanese surrender, Chiang-kuo was given the job of ridding Shanghai of corruption, which he attacked with ruthless efficiency.', 'The victory of the Communists in 1949 drove the Chiangs and their government to Taiwan.', 'Chiang Ching-kuo was first given control of the secret police, a position he retained until 1965 and in which he used arbitrary arrests and torture to ensure tight control.', 'He then became Minister of Defense 1965-1969, Vice-Premier, 1972-78, Premier, 1972-78.', ""After his father's death in 1976 he took leadership of the Nationalist Party as Chairman, and was elected President of the Republic in 1978."", 'Under his tenure, the government of the Republic of China, while authoritarian, became more open and tolerant of political dissent.', 'Chiang courted Taiwanese voters and reduced the preference for those who had come from the mainland after the war.', 'Towards the end of his life, Chiang relaxed government controls on the media and speech and allowed Taiwanese Han into positions of power, including his successor Lee Teng-hui.']]]",How many distinct two-letter combinations exist in the last name of the paternal grandfather of Chiang Hsiao-Wu?,16,2
"[['Melanie Griffith', ['Melanie Richards Griffith (born August 9, 1957) is an American film, stage, and television actress, and film producer.', 'She began her career in the 1970s, appearing in several independent thriller films before achieving mainstream success in the mid-1980s.', 'Born in New York City to actress Tippi Hedren and advertising executive Peter Griffith, she was raised mainly in Los Angeles, where she graduated from the Hollywood Professional School at age sixteen.', 'In 1975, a then seventeen-year-old Griffith appeared opposite Gene Hackman in Arthur Penn\'s film noir ""Night Moves"".', 'She later rose to prominence for her role portraying a pornographic actress in Brian De Palma\'s thriller ""Body Double"" (1984), which earned her a National Society of Film Critics Award for Best Supporting Actress.', 'Griffith\'s subsequent performance in the comedy ""Something Wild"" (1986) garnered critical acclaim before she was cast in 1988\'s ""Working Girl"", which earned her a nomination for the Academy Award for Best Actress and won her a Golden Globe.', 'The 1990s saw Griffith in a series of roles which received varying critical reception: she received Golden Globe nominations for her performances in ""Buffalo Girls"" (1995), and as Marion Davies in ""RKO 281"" (1999), while also earning a Golden Raspberry Award for Worst Actress for her performances in ""Shining Through"" (1992), as well as receiving nominations for ""Crazy in Alabama"" (1999) and John Waters\' cult film ""Cecil B. Demented"" (2000).', 'Other credits include John Schlesinger\'s ""Pacific Heights"" (1990), ""Milk Money"" (1994), the neo-noir film ""Mulholland Falls"" (1996), as Charlotte Haze in Adrian Lyne\'s ""Lolita"" (1997), and ""Another Day in Paradise"" (1998).', 'She later starred as Barbara Marx in ""The Night We Called It a Day"" (2003), and spent the majority of the 2000s appearing on such television series as ""Nip/TuckRaising Hope"", and ""Hawaii Five-0"".', 'After acting on stage in London, in 2003 she made her Broadway debut in a revival of the musical ""Chicago"", receiving celebratory reviews.', 'In the 2010s, Griffith returned to film, starring opposite then-husband Antonio Banderas in the science fiction film ""Autómata"" (2014) and as an acting coach in James Franco\'s ""The Disaster Artist"" (2017).']], ['Dakota Johnson', ['Dakota Mayi Johnson (born October 4, 1989) is an American actress and model.', 'The daughter of actors Don Johnson and Melanie Griffith, she made her film debut at age ten with a minor appearance in ""Crazy in Alabama"" (1999), a dark comedy film starring her mother.', 'Johnson was discouraged from pursuing acting further until she completed high school, after which she began auditioning for roles in Los Angeles.', 'She was cast in a minor part in ""The Social Network"" (2010), and subsequently had supporting roles in the comedy ""21 Jump Street"", the independent comedy ""Goats"", and the romantic comedy ""The Five-Year Engagement"" (all 2012).', 'In 2015, Johnson had her first starring role as Anastasia Steele in the ""Fifty Shades"" film series (2015–18).', 'For her performance in the series, she received a BAFTA Rising Star Award nomination in 2016.', 'Following ""Fifty Shades"", Johnson appeared in the biographical crime film ""Black Mass"" (2015) and Luca Guadagnino\'s drama ""A Bigger Splash"" (2015).', 'She reunited with Guadagnino, portraying the lead role in ""Suspiria"" (2018), a supernatural horror film based on the 1977 film by Dario Argento.', 'That same year, she appeared in an ensemble cast in the thriller film ""', 'Bad Times at the El Royale"" (2018).', 'In 2019, Johnson had a starring role in the psychological horror film ""Wounds"" and the comedy-drama film ""The Peanut Butter Falcon"".']]]",How many unique letters are there in the first name of the maternal grandmother of Dakota Johnson?,3,2
"[['Georges Lautner', ['Georges Lautner( 24 January 1926 – 22 November 2013) was a French film director and screenwriter, known primarily for his comedies created in collaboration with screenwriter Michel Audiard.', ""Lautner's ventures into other genres were less successful though the thriller Le Professionnel starring Jean- Paul Belmondo was a big commercial hit in France in 1981."", 'He was born in Nice, the son of actress Renée Saint- Cyr.']], ['Cop or Hood', ['Cop or Hood is a 1979 French crime and action film directed by Georges Lautner.', 'It\'s loosely based on the novel"" L\'Inspecteur de la mer"" by Michel Grisolia.']]]",How many unique letters are there in the first name of the mother of the director of film Cop Or Hood?,4,2
"[[""Snake in the Eagle's Shadow"", [""Snake in the Eagle's Shadow  is a 1978 Hong Kong martial arts action comedy film directed by Yuen Woo-ping in his directorial debut, and starring Jackie Chan, Hwang Jang Lee and Yuen Woo-ping's real life father, Yuen Siu Tien."", 'Right after this film, Yuen Woo-ping directed ""Drunken Master"", released in the same year, which also starred Jackie Chan, Hwang Jang Lee and Yuen Siu Tien, and followed a similar plot.']], ['Yuen Woo-ping', ['Yuen Woo-ping (alias:', 'Yuen Wo-ping;', 'born 1945) is a Hong Kong martial arts choreographer and film director, renowned as one of the most successful and influential figures in the world of Hong Kong action cinema.', 'He is one of the inductees on the Avenue of Stars in Hong Kong.', 'Yuen is also a son of Yuen Siu-tien, a renowned martial arts film actor.']]]",How many unique letters are there in the first name of the father of the director of film Snake In The Eagle'S Shadow?,4,2
"[['Sally Hemings', ['Sarah ""Sally"" Hemings (1773–1835) was an enslaved woman of mixed race owned by President Thomas Jefferson.', 'According to the ""New York Times"", there is a ""growing historical consensus"" among scholars that, as a widower, Jefferson had a long-term relationship with Hemings, and that he was the father of her six children, born after the death of his wife Martha Jefferson, who was the half-sister of Sally Hemings.', ""Four of Hemings' children survived to adulthood."", 'Hemings died in Charlottesville, Virginia, in 1835.', ""Sally Hemings came to Jefferson's home as an infant with her siblings and her mother, Betty, as part of his wife"", ""Martha's inheritance of slaves from her father, John Wayles."", 'Hemings was the youngest of six children that Betty Hemings is believed to have had with Wayles.', 'If true, she was three-quarters European and a half-sister of Martha Jefferson.', 'In 1787, Hemings, aged 14, accompanied Jefferson\'s youngest daughter Mary ""Polly"" to London and then to Paris, where the widowed Jefferson, aged 44 at the time, was serving as the United States Minister to France.', 'Hemings spent two years there.', 'Most historians believe Jefferson began using Sally Hemings for sex in France or soon after their return to Monticello.', ""Despite this, Hemings remained enslaved in Jefferson's house until his death."", 'In 2017, a room identified as her quarters at Monticello, under the south terrace, was discovered in an archeological restoration.', 'It is being restored and refurbished.', ""The historical question of whether Jefferson was the father of Hemings' children is the subject of the Jefferson–Hemings controversy."", ""Following renewed historic analysis in the late 20th century and a 1998 DNA study that found a match between the Jefferson male line and a descendant of Hemings' last son, Eston Hemings, the Monticello Foundation asserted that Jefferson fathered Eston and perhaps all five of her children."", 'However, there are some who disagree.', 'In 2018, the Thomas Jefferson Foundation of Monticello announced its plans to have an exhibit on the ""Life of Sally Hemings"" and affirmed that it was treating as a settled issue that Jefferson was the father of her known six children.', 'The exhibit opened in June 2018.', ""Hemings' children lived in Jefferson's house as slaves and were trained as artisans."", ""Jefferson freed all of Hemings' surviving children: Beverly, Harriet, Madison, and Eston, as they came of age; they were the only slave family freed by Jefferson."", 'They were seven-eighths European in ancestry, and three of the four entered white society as adults.', 'Descendants of those three identified as white.', 'After Jefferson\'s death, Hemings was ""given her time"" by his daughter in an informal freedom.', 'She lived her last nine years freely with her two younger sons in Charlottesville, Virginia.', 'She saw a grandchild born in the house her sons owned.']], ['Harriet Hemings', ['Harriet Hemings (May 1801 – 1870) was born into slavery at Monticello, the home of Thomas Jefferson, third President of the United States, in the first year of his presidency.', 'Most historians believe her father was Jefferson, who is now believed to have fathered, with his slave Sally Hemings, four children who survived to adulthood.', 'While Jefferson did not legally free Harriet, in 1822 when she was 21, he aided her ""escape"".', 'He saw that she was put in a stage coach and given $50 for her journey.', 'Her brother Madison Hemings later said she had gone to Washington, DC, to join their older brother Beverley Hemings, who had similarly left Monticello earlier that year.', 'Both entered into white society and married white partners of good circumstances.', 'While seven-eighths European in ancestry, all the Hemings children were legally slaves under Virginia law at the time, in accordance of which they inherited the status of their enslaved mother, who was three-quarters European in ancestry.', 'Jefferson freed the two youngest brothers in his will of 1826, so they were legally free.', 'Beverly and Harriet stayed in touch with their brother Madison Hemings for some time, and then Harriet stopped writing.']]]",What is the alphabetical order of the letters in the last name of Harriet Hemings's maternal grandfather?,aelswy,2
"[['Robert Petre, 8th Baron Petre', ['Robert James Petre, 8th Baron Petre (3 June 1713 – 2 July 1742) was a renowned horticulturist and a British peer.', 'Lord Petre was the son of Robert Petre, 7th Baron Petre (1689–1713) and his wife Catherine Walmesley (1697 – 31 January 1785), heiress of the Walmesley family of Lancashire.', ""Petre was born three months after his father's death and spent his childhood at Ingatestone Hall, instead of at Thorndon Hall, the family seat, as his grandmother was still in residence there.""]], ['Robert Petre, 7th Baron Petre', ['Robert Petre, 7th Baron Petre( 1689 – 22 March 1713) was a British peer, the son of Thomas Petre, 6th Baron Petre( 1633 – 1706) and his wife Mary Clifton, daughter of Sir Thomas Clifton.', 'He succeeded to his title, at the age of 17, upon the death of his father.', 'Robert is said to have spurned wearing a wig in the conventional way, spending instead six hours every day dressing his own hair.', 'He caused an uproar of indignation and outrage in the family when, in 1711, being then only 21, in a freak of gallantry cut off a lock of hair from the head of a celebrated beauty, his distant cousin, Arabella Fermor, daughter of Henry Fermor of Tusmore, Oxfordshire.']]]","What is the alphabetical order of the letters in the last name of Robert Petre, 8Th Baron Petre's paternal grandmother?",cfilnot,2
"[['My 20th Century', ['My 20th Century  is a 1989 Hungarian comedy-drama film written and directed by Ildikó Enyedi.', 'It premiered at the Toronto Festival of Festivals.', 'Enyedi won the Golden Camera award at the 1989 Cannes Film Festival.', 'The film was selected as the Hungarian entry for the Best Foreign Language Film at the 62nd Academy Awards, but was not accepted as a nominee.']], ['Ildikó Enyedi', ['Ildikó Enyedi( born 15 November 1955) is a Hungarian film director and screenwriter.', 'She has directed eight films since 1989.', 'Her father, György Enyedi, was a geographer and economist who played a major role in the long- term development of regional science.']]]",What is the alphabetical order of the letters in the last name of the father of the director of film My 20Th Century?,deeiny,2
"[['Thor Heyerdahl', ['Thor Heyerdahl (October 6, 1914 – April 18, 2002) was a Norwegian adventurer and ethnographer with a background in zoology, botany, and geography.', 'He became notable for his ""Kon-Tiki"" expedition in 1947, in which he sailed 8,000 km (5,000 mi) across the Pacific Ocean in a hand-built raft from South America to the Tuamotu Islands.', 'The expedition was designed to demonstrate that ancient people could have made long sea voyages, creating contacts between separate cultures.', 'This was linked to a diffusionist model of cultural development.', 'Heyerdahl subsequently made other voyages designed to demonstrate the possibility of contact between widely separated ancient people, notably the ""Ra II"" expedition of 1970, when he sailed from the west coast of Africa to Barbados in a papyrus reed boat.', 'He was appointed a government scholar in 1984.', 'In May 2011, the Thor Heyerdahl Archives were added to UNESCO\'s ""Memory of the World"" Register.', 'At the time, this list included 238 collections from all over the world.', 'The Heyerdahl Archives span the years 1937 to 2002 and include his photographic collection, diaries, private letters, expedition plans, articles, newspaper clippings, original book, and article manuscripts.', 'The Heyerdahl Archives are administered by the Kon-Tiki Museum and the National Library of Norway in Oslo.']], ['Kon-Tiki (1950 film)', ['Kon-Tiki is a Norwegian-Swedish documentary film about the Kon-Tiki expedition led by Norwegian explorer and writer Thor Heyerdahl in 1947, released in Sweden, Norway, Finland, and Denmark in 1950, followed by the United States in 1951.', 'The movie, which was directed by Thor Heyerdahl and edited by Olle Nordemar, received the Academy Award for Best Documentary Feature for 1951 at the 24th Academy Awards.', 'The Oscar officially went to Olle Nordemar.', 'The Academy Film Archive preserved ""Kon-Tiki"" in 2013.']]]",What is the day of the date of birth of the director of Kon-Tiki (1950 Film)?,6,1
"[['Richard de Clare, 6th Earl of Gloucester', ['Richard de Clare, 5th Earl of Hertford, 6th Earl of Gloucester, 2nd Lord of Glamorgan, 8th Lord of Clare (4 August 1222 – 14 July 1262) was son of Gilbert de Clare, 4th Earl of Hertford and Isabel Marshal.', 'He was also a powerful Marcher Lord in Wales and inherited the Lordship of Glamorgan upon the death of his father.', 'He played a prominent role in the constitutional crisis of 1258–1263.']], ['Isabel Marshal', ['Isabel Marshal (9 October 1200 – 17 January 1240) was a medieval English countess.', 'She was the wife of both Gilbert de Clare, 4th Earl of Hertford and 5th Earl of Gloucester and Richard, 1st Earl of Cornwall (son of King John of England).', 'With the former, she was a great grandmother of King Robert the Bruce of Scotland.']]]","What is the day of when Richard De Clare, 6Th Earl Of Gloucester's mother died?",17,1
